,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-12-1,16.1,23.0,0.2,,,,,,19.5,70.0,7.0,WNW,24.0,1001.1,,,,,,998.5
,2024-12-2,11.9,22.2,3.0,,,,,,15.0,73.0,4.0,W,13.0,1002.7,,,,,,1003.7
,2024-12-3,14.0,26.5,0.6,,,,,,21.9,60.0,4.0,W,11.0,1005.4,,,,,,1002.1
,2024-12-4,15.6,19.6,0.3,,,,,,17.7,77.0,7.0,W,19.0,1008.4,,,,,,1010.2
,2024-12-5,14.7,19.8,0.0,,,,,,17.1,60.0,8.0,E,7.0,1017.3,,,,,,1016.1
,2024-12-6,15.6,20.6,0.0,,,,,,19.5,55.0,4.0,SW,15.0,1019.0,,,,,,1018.5
,2024-12-7,14.3,20.4,0.0,,,,,,19.1,53.0,6.0,ESE,24.0,1021.7,,,,,,1018.6
,2024-12-8,15.9,19.9,0.0,,,,,,18.8,69.0,8.0,SE,11.0,1016.6,,,,,,1014.3
,2024-12-9,16.9,19.6,0.0,,,,,,17.5,75.0,8.0,SE,11.0,1018.0,,,,,,1017.7
,2024-12-10,16.2,21.0,0.0,,,,,,19.0,63.0,2.0,SE,11.0,1020.9,,,,,,1018.8
,2024-12-11,17.3,23.2,0.0,,,,,,19.4,85.0,8.0,E,9.0,1015.9,,,,,,1010.6
,2024-12-12,17.8,20.7,0.0,,,,,,18.4,88.0,8.0,SE,33.0,1012.1,,,,,,1010.5
,2024-12-13,17.8,,0.0,,,,,,19.6,78.0,8.0,E,24.0,1006.6,,,,,,1002.1
,2024-12-14,17.2,,0.4,,,,,,18.2,94.0,8.0,W,7.0,1005.1,,,,,,1002.3
,2024-12-15,15.1,,0.0,,,,,,20.3,53.0,6.0,W,13.0,1004.7,,,,,,1003.5
,2024-12-16,14.1,,1.0,,,,,,19.0,81.0,6.0,WSW,9.0,1014.2,,,,,,1016.1
,2024-12-17,13.8,,0.0,,,,,,20.5,68.0,1.0,E,15.0,1019.4,,,,,,1014.4
,2024-12-18,15.5,,0.0,,,,,,24.1,58.0,0.0,W,6.0,1010.7,,,,,,1011.3
,2024-12-19,16.2,,0.0,,,,,,18.1,66.0,5.0,SW,44.0,1018.7,,,,,,1019.3
,2024-12-20,15.9,,0.0,,,,,,19.0,63.0,0.0,ESE,7.0,1022.3,,,,,,1018.2
,2024-12-21,16.8,,0.0,,,,,,21.0,74.0,2.0,SE,17.0,1020.1,,,,,,1019.7
,2024-12-22,17.7,24.5,0.0,,,,,,21.1,76.0,1.0,SE,37.0,1021.0,,,,,,1017.3
,2024-12-23,16.3,27.0,0.0,,,,,,23.0,84.0,0.0,SE,7.0,1013.2,,,,,,1006.9
,2024-12-24,16.8,,0.4,,,,,,17.2,,8.0,SW,31.0,1012.0,,,,,,1012.9
,2024-12-25,,,,,,,,,,,,,,1014.6,,,,,,1011.3
,2024-12-26,,20.6,,,,,,,,,,,,1022.2,,,,,,1021.9
,2024-12-27,14.0,20.0,3.8,,,,,,18.9,77.0,8.0,SW,31.0,1021.4,,,,,,1020.2
,2024-12-28,16.5,20.8,0.0,,,,,,19.9,58.0,7.0,W,11.0,1020.0,,,,,,1017.9
,2024-12-29,13.9,22.6,0.0,,,,,,19.0,73.0,2.0, ,,1015.0,,,,,,1012.7
,2024-12-30,16.3,20.2,0.0,,,,,,17.5,91.0,8.0,S,11.0,1021.0,,,,,,1020.9
,2024-12-31,14.5,,0.0,,,,,,19.8,65.0,1.0,SW,31.0,1021.0,,,,,,1018.9
