,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-06-1,6.3,17.3,7.8,,,SSW,35.0,14:52,10.0,91,,S,9,1021.7,16.8,55,7.0,S,19,1020.0
,2024-06-2,5.2,14.6,0.0,,,SSW,30.0,13:13,7.3,89,1.0,SSW,13,1021.9,13.8,59,,SSE,15,1019.6
,2024-06-3,1.3,13.6,0.0,,,NW,26.0,13:11,6.7,88,,W,7,1018.8,13.1,52,,SW,13,1015.5
,2024-06-4,2.7,12.7,0.2,,,N,17.0,10:12,7.1,93,8.0,N,7,1019.8,11.3,64,8.0,N,7,1017.0
,2024-06-5,5.3,13.5,0.0,,,S,24.0,12:19,7.6,96,1.0,SSW,6,1019.7,12.5,55,7.0,SSW,13,1018.2
,2024-06-6,7.1,11.1,0.0,,,S,22.0,20:16,8.2,98,8.0,SW,9,1020.8,10.2,98,7.0,SSW,9,1019.8
,2024-06-7,8.2,17.7,6.8,,,,,,10.4,100,8.0,S,7,1020.5,17.0,60,,SW,15,1016.4
,2024-06-8,6.3,16.6,0.0,,,WSW,31.0,12:19,9.5,88,,SW,11,1018.5,16.1,53,,WSW,17,1016.6
,2024-06-9,5.6,14.7,0.2,,,SW,20.0,12:46,6.9,100,8.0,SW,11,1022.3,14.1,62,4.0,SW,13,1020.4
,2024-06-10,6.7,17.7,0.0,,,S,13.0,13:23,12.0,78,6.0, ,Calm,1025.6,16.9,52,1.0,SSW,4,1023.0
,2024-06-11,7.4,18.9,0.0,,,NW,37.0,11:37,11.2,78,,N,17,1022.1,18.2,46,8.0,NW,19,1018.0
,2024-06-12,9.0,17.4,0.0,,,SSW,41.0,11:01,11.9,76,,SW,15,1019.0,17.2,53,2.0,SW,20,1017.7
,2024-06-13,2.4,13.6,0.0,,,ESE,24.0,10:55,7.6,78,6.0,SSE,6,1023.2,12.7,51,7.0,SSW,11,1020.5
,2024-06-14,4.3,14.1,0.0,,,ENE,20.0,09:44,7.5,85,7.0,N,7,1020.2,13.7,55,7.0,SW,9,1017.0
,2024-06-15,4.9,14.2,2.4,,,S,17.0,17:48,8.2,97,1.0,E,9,1018.2,13.6,64,8.0,SSE,7,1015.9
,2024-06-16,6.9,14.7,6.4,,,SW,31.0,12:39,8.5,99,,S,11,1019.7,13.8,57,2.0,SSW,17,1018.3
,2024-06-17,2.6,12.9,0.2,,,SSW,37.0,12:23,5.5,89,,SSW,13,1021.4,12.4,57,1.0,SW,19,1019.3
,2024-06-18,2.6,13.3,0.0,,,WSW,22.0,14:14,5.7,90,8.0,SW,6,1020.8,12.7,54,3.0,SW,11,1017.9
,2024-06-19,4.6,15.0,0.2,,,NE,22.0,23:39,7.8,79,8.0,ENE,11,1018.6,14.3,48,8.0,N,11,1015.5
,2024-06-20,7.3,19.1,0.0,,,NW,33.0,14:42,11.1,65,1.0,N,13,1016.2,18.2,48,,NNW,17,1014.1
,2024-06-21,5.2,13.6,1.0,,,S,24.0,16:44,8.7,88,8.0, ,Calm,1020.4,13.0,63,7.0,S,11,1021.2
,2024-06-22,3.5,14.2,0.0,,,SSE,24.0,14:35,4.4,100,,S,9,1027.7,13.5,56,,SSE,11,1025.8
,2024-06-23,1.5,16.7,0.2,,,SSE,15.0,00:03,6.8,85,,SSW,7,1026.2,16.0,47,,NNE,6,1023.7
,2024-06-24,3.4,17.7,0.0,,,NNW,22.0,11:39,8.9,81,5.0,NE,11,1020.0,16.4,45,4.0,N,11,1017.1
,2024-06-25,6.1,19.9,0.0,,,N,33.0,13:49,11.1,67,,NE,17,1018.8,19.2,30,,N,20,1016.0
,2024-06-26,4.2,17.3,0.0,,,WSW,26.0,14:01,11.4,57,,WSW,2,1021.3,16.3,33,,W,13,1020.5
,2024-06-27,4.5,17.2,0.0,,,S,22.0,14:35,11.2,51,,NW,7,1024.5,16.8,32,,SSW,11,1022.2
,2024-06-28,3.5,18.1,0.0,,,NE,28.0,13:55,11.4,58,,NNE,9,1026.2,17.7,32,,NE,15,1022.1
,2024-06-29,8.3,21.7,0.0,,,S,46.0,22:31,12.9,57,,N,22,1020.4,19.1,61,8.0,NNW,13,1016.5
,2024-06-30,10.2,12.5,13.2,,,SSW,33.0,03:25,10.3,100,8.0,SSW,17,1018.4,11.8,65,5.0,SSW,19,1018.3
