,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-05-1,13.4,18.6,,,,S,54,11:36,15.3,70,8.0,SW,19,1031.2,15.9,83,8.0,SSW,39,1029.7
,2024-05-2,13.3,19.4,,,,S,41,16:28,16.2,72,8.0,SSW,17,1032.0,17.9,70,2.0,S,28,1030.1
,2024-05-3,13.6,16.0,,,,SW,33,10:14,13.8,92,8.0,SW,22,1030.9,15.7,87,8.0,SSW,13,1027.7
,2024-05-4,13.8,17.5,,,,SSW,33,13:44,15.4,90,8.0,SW,15,1026.2,16.6,86,8.0,SW,15,1023.1
,2024-05-5,14.6,19.1,,,,S,63,23:28,15.5,87,8.0,S,39,1023.4,14.6,92,7.0,SW,19,1022.5
,2024-05-6,14.3,19.7,,,,S,72,02:08,18.2,79,5.0,S,37,1029.1,19.3,56,1.0,SSE,35,1029.4
,2024-05-7,14.1,19.6,,,,S,43,00:32,17.0,79,8.0,SSW,20,1032.0,16.5,84,8.0,SSE,24,1030.3
,2024-05-8,14.4,18.4,,,,N,37,09:30,16.9,77,8.0,SW,13,1031.7,16.9,90,6.0,SW,11,1029.6
,2024-05-9,15.0,19.2,45.2,,,SSE,26,13:21,16.7,85,8.0,SSW,17,1032.6,18.8,84,8.0,SW,11,1030.4
,2024-05-10,14.1,19.6,7.2,,,E,50,17:19,16.1,88,8.0,SW,13,1031.4,18.7,81,6.0,S,24,1028.4
,2024-05-11,14.9,16.6,31.0,,,ESE,41,00:43,15.9,93,8.0,WSW,7,1027.5,15.6,94,8.0,WSW,7,1025.2
,2024-05-12,14.2,17.7,69.2,,,SSW,48,12:42,15.3,88,8.0,SW,20,1021.7,15.1,93,8.0,SW,24,1019.0
,2024-05-13,14.6,20.9,59.0,,,SW,52,00:25,16.7,90,8.0,SW,22,1020.7,20.2,70,7.0,SSW,20,1019.9
,2024-05-14,12.7,21.1,1.2,,,SSE,24,13:15,18.6,68,, ,Calm,1025.1,20.1,63,,SSE,20,1024.4
,2024-05-15,15.0,20.1,0.0,,,NE,28,16:24,17.6,66,5.0,SW,9,1029.4,19.7,72,,NE,20,1025.8
,2024-05-16,12.8,20.7,0.0,,,SSW,24,09:34,18.1,74,8.0,SW,15,1029.9,19.4,73,,SSW,7,1027.1
,2024-05-17,15.5,22.2,0.0,,,SSW,59,23:55,19.4,66,,NNW,7,1024.9,21.0,69,,NE,15,1020.2
,2024-05-18,12.0,15.3,2.8,,,SSW,61,00:14,13.1,60,8.0,SW,31,1024.3,14.8,60,6.0,SSW,41,1023.9
,2024-05-19,10.7,16.8,0.2,,,SW,41,00:33,14.0,59,4.0,SW,22,1022.9,16.4,47,,SSE,15,1019.6
,2024-05-20,11.5,17.8,0.0,,,S,54,14:06,15.4,49,,SW,22,1023.1,17.4,62,2.0,SSW,41,1022.8
,2024-05-21,13.0,18.1,0.0,,,S,46,11:05,15.3,56,8.0,SW,22,1027.9,17.2,62,,S,33,1026.2
,2024-05-22,12.4,18.2,0.0,,,S,33,15:07,15.2,50,,SW,15,1027.4,17.1,55,,S,28,1024.5
,2024-05-23,10.1,19.0,0.0,,,SSE,20,12:23,15.8,60,, ,Calm,1027.4,18.4,54,,SE,7,1025.3
,2024-05-24,11.3,18.8,0.0,,,S,28,15:15,16.3,69,,SW,9,1027.5,17.7,71,2.0,SSE,20,1025.9
,2024-05-25,11.3,19.5,0.0,,,SSE,17,12:49,15.2,78,1.0,WSW,6,1028.6,18.1,65,4.0,SSE,11,1025.5
,2024-05-26,11.0,19.9,0.0,,,WNW,41,04:29,16.6,71,, ,Calm,1026.0,19.7,57,,E,6,1022.8
,2024-05-27,12.0,19.3,0.0,,,WSW,24,08:09,16.7,55,,SW,6,1025.3,18.6,58,,S,20,1024.3
,2024-05-28,11.1,20.8,0.0,,,NW,28,03:39,17.0,47,,WNW,2,1028.3,20.4,56,, ,Calm,1026.0
,2024-05-29,11.3,21.6,0.0,,,NE,28,15:06,17.3,59,,NW,9,1029.0,20.3,69,,NE,20,1025.2
,2024-05-30,14.4,23.0,0.0,,,N,56,23:41,18.3,55,,WNW,15,1025.9,20.0,77,,NE,20,1021.4
,2024-05-31,18.2,20.7,0.0,,,N,57,05:43,20.3,59,8.0,N,39,1016.8,18.0,79,2.0,N,6,1015.1
