,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-12-1,15.5,23.9,0.0,7.6,10.6,W,43,15:22,21.6,54,6.0,W,9,1004.9,23.2,52,3.0,WSW,15,1003.4
,2024-12-2,14.7,21.7,3.6,8.0,7.9,SW,37,03:28,17.8,63,6.0,SW,15,1007.6,21.1,46,2.0,SW,20,1008.3
,2024-12-3,17.7,23.2,0.0,5.8,3.3,W,33,11:34,19.5,65,8.0,NW,11,1010.8,22.9,61,7.0,WSW,13,1008.8
,2024-12-4,17.5,24.8,0.2,3.8,11.3,SSW,31,14:25,21.6,64,4.0,WSW,13,1010.6,22.9,47,3.0,SW,15,1010.6
,2024-12-5,13.4,25.5,0.0,8.6,13.0,SSW,46,16:08,21.3,55,1.0,SE,7,1014.0,23.2,48,,SSW,26,1011.1
,2024-12-6,15.4,28.1,0.0,7.8,13.1,S,44,16:15,21.8,46,,ESE,13,1015.0,26.1,43,1.0,SSW,22,1012.2
,2024-12-7,16.4,34.9,0.0,9.0,12.5,SE,35,01:27,24.5,34,0.0,ESE,13,1014.8,32.7,24,2.0,SE,15,1009.3
,2024-12-8,18.0,33.4,0.0,10.8,13.1,SSW,46,16:56,25.2,48,3.0,ESE,6,1010.4,30.4,40,1.0,SSW,20,1006.7
,2024-12-9,20.5,35.0,0.0,9.8,13.1,ESE,41,20:16,25.8,54,1.0,SE,13,1011.5,34.2,33,1.0,SE,15,1008.2
,2024-12-10,18.5,35.3,0.0,9.2,13.2,E,44,23:23,24.1,58,1.0,NE,13,1013.8,34.5,35,0.0,ESE,13,1009.7
,2024-12-11,21.7,40.4,0.0,12.4,12.8,ENE,37,00:29,31.3,46,0.0,NE,15,1010.2,39.3,28,1.0,SSW,17,1006.1
,2024-12-12,21.8,37.5,0.0,11.2,13.4,SSW,31,16:55,32.2,48,0.0, ,Calm,1006.9,33.9,38,1.0,SW,19,1004.3
,2024-12-13,22.9,30.4,0.0,12.4,8.5,SW,35,16:33,28.4,57,7.0,NE,6,1004.2,26.4,69,6.0,W,15,1003.1
,2024-12-14,19.8,29.0,0.0,6.6,12.5,SW,35,14:07,24.9,57,0.0,SW,7,1006.0,24.3,60,1.0,SW,15,1005.5
,2024-12-15,18.8,25.4,0.0,8.6,12.4,SW,41,12:18,23.1,59,6.0,WSW,13,1009.1,23.3,48,3.0,WSW,20,1009.8
,2024-12-16,17.1,24.8,0.0,7.8,9.4,SW,33,14:37,20.1,57,7.0,S,13,1016.9,23.3,47,0.0,SSW,19,1015.3
,2024-12-17,15.6,36.5,0.0,8.4,13.1,S,35,16:58,24.4,42,0.0,E,11,1015.9,35.7,16,0.0,SE,6,1010.4
,2024-12-18,18.9,29.0,0.0,10.2,13.0,SSW,46,13:40,27.0,58,0.0,SSW,11,1009.8,26.6,57,0.0,SSW,20,1009.5
,2024-12-19,16.7,29.5,0.0,9.2,13.3,SSW,39,16:28,21.7,56,0.0,ESE,13,1016.1,27.5,44,0.0,SW,17,1013.4
,2024-12-20,15.8,35.2,0.0,10.8,13.2,E,31,07:56,22.8,39,0.0,E,15,1017.5,34.0,19,0.0,SE,13,1012.4
,2024-12-21,20.0,38.0,0.0,10.0,12.8,ESE,39,21:13,28.4,38,0.0,ENE,11,1014.5,36.3,26,1.0,SW,17,1010.6
,2024-12-22,20.8,41.2,0.0,13.4,13.2,E,37,00:30,28.1,36,0.0,E,13,1014.7,40.2,17,0.0,ESE,9,1009.3
,2024-12-23,25.1,43.4,0.0,14.0,13.2,N,39,11:06,34.6,15,6.0,NE,17,1008.6,36.1,19,1.0,SSW,19,1004.6
,2024-12-24,19.8,28.4,0.0,13.2,13.2,SSW,48,14:05,23.8,59,0.0,S,13,1009.7,25.9,52,0.0,SSW,22,1008.9
,2024-12-25,14.9,22.9,0.0,10.0,12.3,S,46,13:46,18.8,47,1.0,S,17,1016.8,22.0,44,3.0,SSW,22,1016.0
,2024-12-26,11.2,23.4,0.0,,13.2,S,48,16:16,18.4,44,1.0,SSE,15,1023.4,22.0,45,0.0,S,24,1020.4
,2024-12-27,13.6,25.0,0.0,8.0,13.2,S,43,15:16,19.8,46,0.0,E,9,1023.6,23.9,47,0.0,S,22,1019.9
,2024-12-28,13.8,31.7,0.0,7.8,13.2,SSE,33,14:54,24.8,45,0.0,E,7,1019.2,29.4,28,0.0,SSE,20,1015.5
,2024-12-29,17.2,35.1,0.0,11.6,5.1,S,33,16:53,26.5,37,7.0,ESE,7,1011.8,32.9,22,7.0,SSE,11,1008.8
,2024-12-30,17.4,33.4,0.0,13.2,13.1,S,33,16:32,24.0,46,0.0,SSE,13,1016.7,30.1,42,0.0,S,17,1013.6
,2024-12-31,19.6,36.5,0.0,13.6,13.1,E,35,05:46,26.2,46,0.0,E,9,1015.8,33.9,33,0.0,SSW,17,1011.5
