,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-03-1,17.9,36.5,0.4,,,SW,56.0,14:58,24.6,67,,NNW,4,1014.7,35.6,24,8.0,WSW,30,1012.0
,2024-03-2,19.7,31.3,0.0,,,W,39.0,14:23,22.1,56,7.0,WNW,11,1013.4,29.2,22,,WSW,19,1012.8
,2024-03-3,8.0,30.7,0.0,,,W,48.0,14:54,15.6,62,,NW,4,1015.4,28.8,13,,W,20,1013.5
,2024-03-4,9.4,31.6,0.0,,,ENE,46.0,21:52,18.6,38,,ESE,17,1019.5,30.1,21,,SSE,9,1017.4
,2024-03-5,14.8,32.8,0.0,,,ENE,43.0,23:04,18.2,56,,ENE,24,1021.0,30.9,31,,NNE,11,1017.4
,2024-03-6,17.7,34.3,0.0,,,NNW,31.0,14:14,21.7,52,,E,15,1018.3,34.0,19,5.0,W,22,1015.0
,2024-03-7,17.0,37.0,0.0,,,ENE,39.0,19:31,24.3,44,2.0,E,13,1019.6,36.1,20,,E,11,1017.0
,2024-03-8,21.5,34.9,0.0,,,ENE,39.0,23:26,24.2,55,,ENE,26,1022.8,33.7,28,,NNW,15,1019.8
,2024-03-9,18.3,35.3,0.0,,,N,33.0,13:29,25.3,59,,ENE,17,1023.8,33.7,26,,NE,17,1021.0
,2024-03-10,18.8,34.5,0.0,,,ENE,28.0,07:58,23.6,53,,ENE,20,1026.3,33.7,24,,E,7,1023.1
,2024-03-11,20.0,33.6,0.0,,,ENE,28.0,08:51,22.4,62,,E,17,1025.6,31.7,31,1.0,N,6,1020.7
,2024-03-12,17.3,36.8,0.0,,,,,,22.6,51,,E,15,1019.5,34.5,23,1.0,S,13,1015.3
,2024-03-13,20.1,36.4,,,,N,30.0,10:13,25.5,40,7.0,ENE,11,1015.7,36.3,21,8.0,WNW,13,1011.3
,2024-03-14,22.9,31.0,0.0,,,WNW,37.0,13:27,26.0,47,6.0,N,11,1011.3,29.4,40,5.0,W,24,1009.9
,2024-03-15,17.7,29.2,0.0,,,ENE,54.0,19:31,20.1,56,5.0,E,17,1017.9,27.5,35,1.0,NE,24,1016.3
,2024-03-16,13.9,26.6,0.0,,,E,43.0,09:21,18.2,55,,E,26,1021.1,25.4,38,8.0,ENE,15,1016.7
,2024-03-17,17.9,28.0,0.0,,,E,44.0,08:30,20.8,62,,ENE,22,1015.1,26.5,43,1.0,ENE,17,1011.7
,2024-03-18,16.3,30.8,0.0,,,E,41.0,09:05,19.8,67,4.0,ENE,20,1014.8,29.6,35,,E,13,1011.5
,2024-03-19,19.3,33.9,0.0,,,WSW,56.0,18:07,21.7,65,,ENE,22,1015.0,31.9,35,1.0,NNW,17,1010.7
,2024-03-20,16.4,21.8,20.2,,,SW,48.0,13:25,16.5,74,8.0,WSW,20,1018.8,20.3,29,2.0,WSW,31,1020.5
,2024-03-21,9.1,25.1,0.0,,,SE,33.0,00:06,13.2,54,,ESE,17,1028.0,23.7,20,,E,15,1024.3
,2024-03-22,10.3,26.1,0.0,,,ENE,44.0,23:53,15.3,62,,ENE,9,1024.9,24.9,29,,NNW,9,1021.0
,2024-03-23,11.7,28.1,0.0,,,N,28.0,17:36,15.2,62,5.0,NE,9,1022.3,27.2,30,6.0,N,9,1019.5
,2024-03-24,11.6,26.7,0.0,,,W,35.0,15:56,14.7,90,4.0,ENE,2,1020.9,26.0,23,,SW,15,1018.7
,2024-03-25,7.6,28.1,0.0,,,WSW,50.0,14:16,13.3,59,,NE,7,1020.9,27.0,28,,WSW,17,1017.7
,2024-03-26,8.3,30.3,0.0,,,WSW,33.0,13:15,14.4,65,,ENE,7,1020.8,29.5,22,,SSW,20,1018.3
,2024-03-27,9.6,29.8,0.0,,,SW,26.0,13:42,15.7,54,,E,11,1022.7,28.8,21,,WSW,13,1020.3
,2024-03-28,8.6,30.4,0.0,,,NNW,35.0,13:47,14.8,70,,ESE,4,1023.2,29.4,27,,SW,11,1021.0
,2024-03-29,14.8,31.3,0.0,,,ENE,35.0,08:42,19.9,68,,E,20,1025.9,30.8,32,,NE,9,1022.7
,2024-03-30,14.4,32.8,0.0,,,SSW,31.0,14:08,18.4,61,,E,13,1025.5,31.5,26,,SE,11,1022.5
,2024-03-31,13.0,32.5,0.0,,,WSW,28.0,14:38,19.4,57,,E,13,1022.0,31.8,25,,NW,11,1017.6
