,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-01-1,16.8,23.3,1.2,,,ENE,26.0,12:45,20.9,82.0,,NW,4,1023.5,21.2,85.0,, ,Calm,1020.9
,2024-01-2,19.1,28.9,1.0,,,E,31.0,18:51,23.1,76.0,,NE,2,1020.3,27.9,59.0,,E,13,1016.6
,2024-01-3,18.5,32.0,0.0,,,ESE,28.0,13:36,23.6,71.0,,ENE,4,1017.4,27.5,56.0,,ESE,19,1013.7
,2024-01-4,18.7,29.3,1.0,,,SE,28.0,12:05,23.4,83.0,,WSW,6,1015.5,22.5,82.0,,E,11,1016.8
,2024-01-5,18.5,25.2,7.8,,,SE,31.0,10:41,20.3,83.0,,SSW,11,1022.0,23.8,56.0,,SSE,13,1021.2
,2024-01-6,14.6,27.5,0.2,,,ESE,33.0,15:46,19.4,74.0,,SW,6,1022.6,25.2,53.0,,ENE,15,1019.8
,2024-01-7,16.3,30.6,0.0,,,ENE,33.0,17:28,25.2,61.0,,N,13,1018.4,29.9,52.0,,NE,15,1014.6
,2024-01-8,19.4,25.1,0.0,,,NE,28.0,12:50,22.4,72.0,,E,6,1012.0,24.6,83.0,,N,7,1008.2
,2024-01-9,17.4,29.4,6.4,,,SSE,31.0,14:16,24.2,75.0,,ESE,6,1012.9,25.6,67.0,,E,9,1011.7
,2024-01-10,20.1,31.3,0.2,,,N,26.0,14:07,23.4,77.0,,ESE,7,1015.1,30.1,57.0,,NNE,17,1012.3
,2024-01-11,20.0,32.2,0.0,,,ESE,37.0,15:15,24.0,86.0,,NE,7,1019.0,31.1,59.0,,ESE,15,1018.6
,2024-01-12,21.2,29.6,15.0,,,ENE,33.0,11:33,24.2,78.0,, ,Calm,1021.5,28.8,60.0,,ENE,19,1018.5
,2024-01-13,18.3,33.8,3.0,,,E,28.0,15:27,24.4,77.0,,E,4,1016.8,32.3,43.0,,NNW,6,1012.4
,2024-01-14,20.3,27.8,0.0,,,SE,37.0,12:49,23.4,68.0,,SSW,11,1018.0,23.0,82.0,,S,26,1017.7
,2024-01-15,17.6,22.6,23.0,,,SSW,33.0,10:03,17.8,99.0,,SSW,17,1022.4,21.0,80.0,,SSW,2,1021.8
,2024-01-16,16.7,25.1,3.0,,,ENE,30.0,13:39,20.5,86.0,,WSW,6,1018.9,21.0,85.0,,ENE,15,1015.0
,2024-01-17,20.4,27.5,5.2,,,WSW,30.0,15:46,23.4,83.0,,ENE,9,1010.0,22.0,96.0,,WSW,19,1005.3
,2024-01-18,20.0,31.6,15.0,,,WNW,43.0,12:44,24.5,85.0,,NNE,4,1002.9,30.8,37.0,,WNW,28,1001.4
,2024-01-19,15.2,30.7,0.2,,,ESE,33.0,16:47,22.3,46.0,,SW,7,1007.2,30.1,33.0,,E,4,1006.4
,2024-01-20,20.1,27.9,0.0,,,E,31.0,14:55,22.9,70.0,,NE,15,1012.2,26.6,62.0,,NE,17,1008.8
,2024-01-21,18.2,38.8,0.0,,,W,46.0,16:20,23.8,74.0,,NE,2,1006.6,37.3,29.0,,N,17,1001.8
,2024-01-22,20.0,24.8,0.0,,,SSE,26.0,08:25,20.5,72.0,,SE,13,1012.0,23.3,58.0,,ESE,15,1012.3
,2024-01-23,17.4,27.1,0.2,,,ENE,30.0,16:52,20.4,81.0,,ESE,6,1016.3,26.3,58.0,,E,15,1013.9
,2024-01-24,14.9,30.3,0.0,,,NNE,22.0,10:38,26.7,56.0,,N,9,1012.5,29.7,52.0,,N,7,1010.2
,2024-01-25,21.5,31.1,0.0,,,ENE,24.0,13:47,26.4,74.0,,NNE,6,1009.4,30.1,62.0,,E,15,1008.0
,2024-01-26,20.5,38.0,0.0,,,,,,34.7,39.0,,N,17,1000.2,37.2,28.0,,WNW,19,999.1
,2024-01-27,,,,,,,,,,,,,,,,,,,,
,2024-01-28,,,,,,,,,,,,,,,,,,,,
,2024-01-29,,33.1,,,,,,,27.8,57.0,,NNE,15,1011.7,31.4,53.0,,NNE,9,1009.0
,2024-01-30,22.9,27.0,0.2,,,SSE,22.0,09:14,24.1,89.0,,S,9,1013.5,26.6,69.0,,ESE,9,1011.9
,2024-01-31,20.9,26.0,2.4,,,SE,28.0,16:44,23.1,87.0,,ESE,6,1013.4,25.4,73.0,,SE,9,1012.1
